PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"22149858","A new water-equivalent 2D plastic scintillation detectors array for the dosimetry of megavoltage energy photon beams in radiation therapy","Guillot M, Beaulieu L, Archambault L, Beddar S, Gingras L.","Med Phys. 2011 Dec;38(12):6763-74. doi: 10.1118/1.3664007.","Guillot M","Med Phys","2011","2011/12/14","","","10.1118/1.3664007"
"22149857","Commissioning a small-field biological irradiator using point, 2D, and 3D dosimetry techniques","Newton J, Oldham M, Thomas A, Li Y, Adamovics J, Kirsch DG, Das S.","Med Phys. 2011 Dec;38(12):6754-62. doi: 10.1118/1.3663675.","Newton J","Med Phys","2011","2011/12/14","PMC3247930","","10.1118/1.3663675"
"22149856","An electromagnetic navigation system for transbronchial interventions with a novel approach to respiratory motion compensation","Gergel I, Hering J, Tetzlaff R, Meinzer HP, Wegner I.","Med Phys. 2011 Dec;38(12):6742-53. doi: 10.1118/1.3662871.","Gergel I","Med Phys","2011","2011/12/14","","","10.1118/1.3662871"
"22149855","Toward a better understanding of the gamma index: Investigation of parameters with a surface-based distance method","Li H, Dong L, Zhang L, Yang JN, Gillin MT, Zhu XR.","Med Phys. 2011 Dec;38(12):6730-41. doi: 10.1118/1.3659707.","Li H","Med Phys","2011","2011/12/14","PMC3298565","","10.1118/1.3659707"
"22149854","Comparison of air-kerma strength determinations for HDR (192)Ir sources","Rasmussen BE, Davis SD, Schmidt CR, Micka JA, Dewerd LA.","Med Phys. 2011 Dec;38(12):6721-9. doi: 10.1118/1.3656683.","Rasmussen BE","Med Phys","2011","2011/12/14","","","10.1118/1.3656683"
"22149853","Accurate calibration method for 3D freehand ultrasound probe using virtual plane","De Lorenzo D, Vaccarella A, Khreis G, Moennich H, Ferrigno G, De Momi E.","Med Phys. 2011 Dec;38(12):6710-20. doi: 10.1118/1.3663674.","De Lorenzo D","Med Phys","2011","2011/12/14","","","10.1118/1.3663674"
"22149852","4D Cone-beam CT reconstruction using a motion model based on principal component analysis","Staub D, Docef A, Brock RS, Vaman C, Murphy MJ.","Med Phys. 2011 Dec;38(12):6697-709. doi: 10.1118/1.3662895.","Staub D","Med Phys","2011","2011/12/14","PMC3247929","","10.1118/1.3662895"
"22149851","Development of a novel quality assurance system based on rolled-up and rolled-out radiochromic films in volumetric modulated arc therapy","Park JY, Lee JW, Choi KS, Lee JS, Kim YH, Hong S, Suh TS.","Med Phys. 2011 Dec;38(12):6688-96. doi: 10.1118/1.3659706.","Park JY","Med Phys","2011","2011/12/14","","","10.1118/1.3659706"
"22149850","Technical Note: modification of the standard gain correction algorithm to compensate for the number of used reference flat frames in detector performance studies","Konstantinidis AC, Olivo A, Speller RD.","Med Phys. 2011 Dec;38(12):6683-7. doi: 10.1118/1.3664003.","Konstantinidis AC","Med Phys","2011","2011/12/14","","","10.1118/1.3664003"
"22149849","Quantifying the tibiofemoral joint space using x-ray tomosynthesis","Kalinosky B, Sabol JM, Piacsek K, Heckel B, Gilat Schmidt T.","Med Phys. 2011 Dec;38(12):6672-82. doi: 10.1118/1.3662891.","Kalinosky B","Med Phys","2011","2011/12/14","","","10.1118/1.3662891"
"22149848","The simulation of 3D microcalcification clusters in 2D digital mammography and breast tomosynthesis","Shaheen E, Van Ongeval C, Zanca F, Cockmartin L, Marshall N, Jacobs J, Young KC, R Dance D, Bosmans H.","Med Phys. 2011 Dec;38(12):6659-71. doi: 10.1118/1.3662868.","Shaheen E","Med Phys","2011","2011/12/14","","","10.1118/1.3662868"
"22149847","An approach to assessing stochastic radiogenic risk in medical imaging","Wolbarst AB, Hendee WR.","Med Phys. 2011 Dec;38(12):6654-8. doi: 10.1118/1.3660592.","Wolbarst AB","Med Phys","2011","2011/12/14","","","10.1118/1.3660592"
"22149846","A software-based x-ray scatter correction method for breast tomosynthesis","Jia Feng SS, Sechopoulos I.","Med Phys. 2011 Dec;38(12):6643-53. doi: 10.1118/1.3659703.","Jia Feng SS","Med Phys","2011","2011/12/14","PMC3247928","","10.1118/1.3659703"
"22149845","Automated image-based colon cleansing for laxative-free CT colonography computer-aided polyp detection","Linguraru MG, Panjwani N, Fletcher JG, Summers RM.","Med Phys. 2011 Dec;38(12):6633-42. doi: 10.1118/1.3662918.","Linguraru MG","Med Phys","2011","2011/12/14","PMC3254579","","10.1118/1.3662918"
"22149844","Modeling of radio-frequency induced currents on lead wires during MR imaging using a modified transmission line method","Acikel V, Atalar E.","Med Phys. 2011 Dec;38(12):6623-32. doi: 10.1118/1.3662865.","Acikel V","Med Phys","2011","2011/12/14","","","10.1118/1.3662865"
"22149843","Potential of discrete Gaussian edge feathering method for improving abutment dosimetry in eMLC-delivered segmented-field electron conformal therapy","Eley JG, Hogstrom KR, Matthews KL, Parker BC, Price MJ.","Med Phys. 2011 Dec;38(12):6610-22. doi: 10.1118/1.3660289.","Eley JG","Med Phys","2011","2011/12/14","","","10.1118/1.3660289"
"22149842","Ultrafast and scalable cone-beam CT reconstruction using MapReduce in a cloud computing environment","Meng B, Pratx G, Xing L.","Med Phys. 2011 Dec;38(12):6603-9. doi: 10.1118/1.3660200.","Meng B","Med Phys","2011","2011/12/14","PMC3247927","","10.1118/1.3660200"
"22149841","Implementing a newly proposed Monte Carlo based small field dosimetry formalism for a comprehensive set of diode detectors","Cranmer-Sargison G, Weston S, Evans JA, Sidhu NP, Thwaites DI.","Med Phys. 2011 Dec;38(12):6592-602. doi: 10.1118/1.3658572.","Cranmer-Sargison G","Med Phys","2011","2011/12/14","","","10.1118/1.3658572"
"22149840","Dose and dose averaged LET comparison of ¹H, ⁴He, ⁶Li, ⁸Be, ¹⁰B, ¹²C, ¹⁴N, and ¹⁶O ion beams forming a spread-out Bragg peak","Kantemiris I, Karaiskos P, Papagiannis P, Angelopoulos A.","Med Phys. 2011 Dec;38(12):6585-91. doi: 10.1118/1.3662911.","Kantemiris I","Med Phys","2011","2011/12/14","","","10.1118/1.3662911"
"22149839","Effects of motion, attenuation, and scatter corrections on gated cardiac SPECT reconstruction","Niu X, Yang Y, Jin M, Wernick MN, King MA.","Med Phys. 2011 Dec;38(12):6571-84. doi: 10.1118/1.3660328.","Niu X","Med Phys","2011","2011/12/14","PMC3247926","","10.1118/1.3660328"
"22149838","A generic, geometric cocalibration method for a combined system of fluorescence molecular tomography and microcomputed tomography with arbitrarily shaped objects","Fu J, Yang X, Wang K, Luo Q, Gong H.","Med Phys. 2011 Dec;38(12):6561-70. doi: 10.1118/1.3658727.","Fu J","Med Phys","2011","2011/12/14","","","10.1118/1.3658727"
"22149837","Use of radiation protraction to escalate biologically effective dose to the treatment target","Kuperman VY, Spradlin GS.","Med Phys. 2011 Dec;38(12):6553-60. doi: 10.1118/1.3656053.","Kuperman VY","Med Phys","2011","2011/12/14","","","10.1118/1.3656053"
"22149836","A feasibility study of using couch-based real time dosimetric device in external beam radiotherapy","Prabhakar R, Cramb J, Kron T.","Med Phys. 2011 Dec;38(12):6539-52. doi: 10.1118/1.3660773.","Prabhakar R","Med Phys","2011","2011/12/14","","","10.1118/1.3660773"
"22149835","A self-adaptive case-based reasoning system for dose planning in prostate cancer radiotherapy","Mishra N, Petrovic S, Sundar S.","Med Phys. 2011 Dec;38(12):6528-38. doi: 10.1118/1.3660517.","Mishra N","Med Phys","2011","2011/12/14","","","10.1118/1.3660517"
"22149834","Calculation of k(Q(clin),Q(msr) ) (f(clin),f(msr) ) for several small detectors and for two linear accelerators using Monte Carlo simulations","Francescon P, Cora S, Satariano N.","Med Phys. 2011 Dec;38(12):6513-27. doi: 10.1118/1.3660770.","Francescon P","Med Phys","2011","2011/12/14","","","10.1118/1.3660770"
"22149833","Rhodium self-powered neutron detector as a suitable on-line thermal neutron flux monitor in BNCT treatments","Miller ME, Sztejnberg ML, González SJ, Thorp SI, Longhino JM, Estryk G.","Med Phys. 2011 Dec;38(12):6502-12. doi: 10.1118/1.3660204.","Miller ME","Med Phys","2011","2011/12/14","","","10.1118/1.3660204"
"22149832","Effects of exposure equalization on image signal-to-noise ratios in digital mammography: a simulation study with an anthropomorphic breast phantom","Liu X, Lai CJ, Whitman GJ, Geiser WR, Shen Y, Yi Y, Shaw CC.","Med Phys. 2011 Dec;38(12):6489-501. doi: 10.1118/1.3659709.","Liu X","Med Phys","2011","2011/12/14","PMC3247925","","10.1118/1.3659709"
"22149831","Spatial correlation of proton irradiation-induced activity and dose in polymer gel phantoms for PET/CT delivery verification studies","Lopatiuk-Tirpak O, Su Z, Li Z, Hsi W, Meeks S, Zeidan O.","Med Phys. 2011 Dec;38(12):6483-8. doi: 10.1118/1.3651467.","Lopatiuk-Tirpak O","Med Phys","2011","2011/12/14","","","10.1118/1.3651467"
"22149830","Potential of high-Z contrast agents in clinical contrast-enhanced computed tomography","Nowak T, Hupfer M, Brauweiler R, Eisa F, Kalender WA.","Med Phys. 2011 Dec;38(12):6469-82. doi: 10.1118/1.3658738.","Nowak T","Med Phys","2011","2011/12/14","","","10.1118/1.3658738"
"22149829","Improving superficial target delineation in radiation therapy with endoscopic tracking and registration","Weersink RA, Qiu J, Hope AJ, Daly MJ, Cho BC, Dacosta RS, Sharpe MB, Breen SL, Chan H, Jaffray DA.","Med Phys. 2011 Dec;38(12):6458-68. doi: 10.1118/1.3658569.","Weersink RA","Med Phys","2011","2011/12/14","","","10.1118/1.3658569"
"22149828","Predicting the fidelity of JPEG2000 compressed CT images using DICOM header information","Kim KJ, Kim B, Lee H, Choi H, Jeon JJ, Ahn JH, Lee KH.","Med Phys. 2011 Dec;38(12):6449-57. doi: 10.1118/1.3656963.","Kim KJ","Med Phys","2011","2011/12/14","","","10.1118/1.3656963"
"22149827","Companding technique for high dynamic range measurements using Gafchromic films","Van den Heuvel F, Crijns W, Defraene G.","Med Phys. 2011 Dec;38(12):6443-8. doi: 10.1118/1.3656959.","Van den Heuvel F","Med Phys","2011","2011/12/14","","","10.1118/1.3656959"
"22149826","High resolution dual detector volume-of-interest cone beam breast CT--Demonstration with a bench top system","Shen Y, Yi Y, Zhong Y, Lai CJ, Liu X, You Z, Ge S, Wang T, Shaw CC.","Med Phys. 2011 Dec;38(12):6429-42. doi: 10.1118/1.3656040.","Shen Y","Med Phys","2011","2011/12/14","PMC3230641","","10.1118/1.3656040"
"22149825","A comparative study of a dual-energy-like imaging technique based on counting-integrating readout","Roessl E, Herrmann C, Kraft E, Proksa R.","Med Phys. 2011 Dec;38(12):6416-28. doi: 10.1118/1.3651643.","Roessl E","Med Phys","2011","2011/12/14","","","10.1118/1.3651643"
"22149824","Bypassing absorbing objects in focused ultrasound using computer generated holographic technique","Hertzberg Y, Navon G.","Med Phys. 2011 Dec;38(12):6407-15. doi: 10.1118/1.3651464.","Hertzberg Y","Med Phys","2011","2011/12/14","","","10.1118/1.3651464"
"22149823","Pitfalls of tungsten multileaf collimator in proton beam therapy","Moskvin V, Cheng CW, Das IJ.","Med Phys. 2011 Dec;38(12):6395-406. doi: 10.1118/1.3658655.","Moskvin V","Med Phys","2011","2011/12/14","","","10.1118/1.3658655"
"22149822","Four-dimensional magnetic resonance imaging (4D-MRI) using image-based respiratory surrogate: a feasibility study","Cai J, Chang Z, Wang Z, Paul Segars W, Yin FF.","Med Phys. 2011 Dec;38(12):6384-94. doi: 10.1118/1.3658737.","Cai J","Med Phys","2011","2011/12/14","PMC4108683","","10.1118/1.3658737"
"22149821","An improved model for describing the contrast bolus in perfusion MRI","Patil V, Johnson G.","Med Phys. 2011 Dec;38(12):6380-3. doi: 10.1118/1.3658570.","Patil V","Med Phys","2011","2011/12/14","PMC3230640","","10.1118/1.3658570"
"22149820","Virtual monochromatic imaging in dual-source dual-energy CT: radiation dose and image quality","Yu L, Christner JA, Leng S, Wang J, Fletcher JG, McCollough CH.","Med Phys. 2011 Dec;38(12):6371-9. doi: 10.1118/1.3658568.","Yu L","Med Phys","2011","2011/12/14","PMC3230639","","10.1118/1.3658568"
"22149819","Evaluations of an adaptive planning technique incorporating dose feedback in image-guided radiotherapy of prostate cancer","Liu H, Wu Q.","Med Phys. 2011 Dec;38(12):6362-70. doi: 10.1118/1.3658567.","Liu H","Med Phys","2011","2011/12/14","PMC3230638","","10.1118/1.3658567"
"22149818","Robust automatic segmentation of multiple implanted cylindrical gold fiducial markers in cone-beam CT projections","Fledelius W, Worm E, Elstrøm UV, Petersen JB, Grau C, Høyer M, Poulsen PR.","Med Phys. 2011 Dec;38(12):6351-61. doi: 10.1118/1.3658566.","Fledelius W","Med Phys","2011","2011/12/14","","","10.1118/1.3658566"
"22149817","Tumor hypoxia is an important mechanism of radioresistance in hypofractionated radiotherapy and must be considered in the treatment planning process","Carlson DJ, Yenice KM, Orton CG.","Med Phys. 2011 Dec;38(12):6347-50. doi: 10.1118/1.3639137.","Carlson DJ","Med Phys","2011","2011/12/14","","","10.1118/1.3639137"
"28525098","NEW INSTRUCTIONS TO AUTHORS","","Med Phys. 2011 Dec;38(12):6888-6889. doi: 10.1002/j.2473-4209.2011.tb00136.x.","","Med Phys","2011","2017/05/20","","","10.1002/j.2473-4209.2011.tb00136.x"
"28525097","Erratum: ""Secondary neutron spectra from modern Varian, Siemens, and Elekta linacs with multileaf collimators"" [Med. Phys. 36(9), 4027-4038 (2009)]","Howell RM, Kry SF, Burgett E, Hertel NE, Followill D.","Med Phys. 2011 Dec;38(12):6789. doi: 10.1118/1.3658654.","Howell RM","Med Phys","2011","2017/05/20","PMC4108648","","10.1118/1.3658654"
"22047400","Multileaf collimators, air gap, lateral penumbra, and range compensation in proton radiotherapy","Gottschalk B.","Med Phys. 2011 Nov;38(11):i-ii. doi: 10.1118/1.3653297.","Gottschalk B","Med Phys","2011","2011/11/04","","","10.1118/1.3653297"
"22047399","A few words on evidence based medicine","Phillips MH, Kalet IJ.","Med Phys. 2011 Nov;38(11):6343-4. doi: 10.1118/1.3644841.","Phillips MH","Med Phys","2011","2011/11/04","","","10.1118/1.3644841"
"22047398","Development of a human-tissue-like phantom for 3.0-T MRI","Ikemoto Y, Takao W, Yoshitomi K, Ohno S, Harimoto T, Kanazawa S, Shibuya K, Kuroda M, Kato H.","Med Phys. 2011 Nov;38(11):6336-42. doi: 10.1118/1.3656077.","Ikemoto Y","Med Phys","2011","2011/11/04","","","10.1118/1.3656077"
"22047397","Suitability of miniature inductively coupled RF coils as MR-visible markers for clinical purposes","Garnov N, Thormer G, Trampel R, Grunder W, Kahn T, Moche M, Busse H.","Med Phys. 2011 Nov;38(11):6327-35. doi: 10.1118/1.3655027.","Garnov N","Med Phys","2011","2011/11/04","","","10.1118/1.3655027"
"22047396","Automatic 3D registration of dynamic stress and rest (82)Rb and flurpiridaz F 18 myocardial perfusion PET data for patient motion detection and correction","Woo J, Tamarappoo B, Dey D, Nakazato R, Le Meunier L, Ramesh A, Lazewatsky J, Germano G, Berman DS, Slomka PJ.","Med Phys. 2011 Nov;38(11):6313-26. doi: 10.1118/1.3656951.","Woo J","Med Phys","2011","2011/11/04","PMC3223511","","10.1118/1.3656951"
"22047395","Flow characteristics in a canine aneurysm model: a comparison of 4D accelerated phase-contrast MR measurements and computational fluid dynamics simulations","Jiang J, Johnson K, Valen-Sendstad K, Mardal KA, Wieben O, Strother C.","Med Phys. 2011 Nov;38(11):6300-12. doi: 10.1118/1.3652917.","Jiang J","Med Phys","2011","2011/11/04","PMC3223510","","10.1118/1.3652917"
"22047394","Automated intraoperative calibration for prostate cancer brachytherapy","Kuiran Chen T, Heffter T, Lasso A, Pinter C, Abolmaesumi P, Burdette EC, Fichtinger G.","Med Phys. 2011 Nov;38(11):6285-99. doi: 10.1118/1.3651690.","Kuiran Chen T","Med Phys","2011","2011/11/04","","","10.1118/1.3651690"
"22047393","Fluorescence diffuse optical tomography using the split Bregman method","Abascal JF, Chamorro-Servent J, Aguirre J, Arridge S, Correia T, Ripoll J, Vaquero JJ, Desco M.","Med Phys. 2011 Nov;38(11):6275-84. doi: 10.1118/1.3656063.","Abascal JF","Med Phys","2011","2011/11/04","","","10.1118/1.3656063"
"22047392","Comparison and assessment of semi-automatic image segmentation in computed tomography scans for image-guided kidney surgery","Glisson CL, Altamar HO, Herrell SD, Clark P, Galloway RL.","Med Phys. 2011 Nov;38(11):6265-74. doi: 10.1118/1.3653220.","Glisson CL","Med Phys","2011","2011/11/04","","","10.1118/1.3653220"
"22047391","Direct dose to water dosimetry for pretreatment IMRT verification using a modified EPID","Gustafsson H, Vial P, Kuncic Z, Baldock C, Denham JW, Greer PB.","Med Phys. 2011 Nov;38(11):6257-64. doi: 10.1118/1.3656946.","Gustafsson H","Med Phys","2011","2011/11/04","","","10.1118/1.3656946"
"22047390","Comparison of secondary neutron dose in proton therapy resulting from the use of a tungsten alloy MLC or a brass collimator system","Diffenderfer ES, Ainsley CG, Kirk ML, McDonough JE, Maughan RL.","Med Phys. 2011 Nov;38(11):6248-56. doi: 10.1118/1.3656025.","Diffenderfer ES","Med Phys","2011","2011/11/04","","","10.1118/1.3656025"
"22047389","A robust and efficient approach to detect 3D rectal tubes from CT colonography","Yang X, Slabaugh G.","Med Phys. 2011 Nov;38(11):6238-47. doi: 10.1118/1.3654842.","Yang X","Med Phys","2011","2011/11/04","","","10.1118/1.3654842"
"22047388","Accuracy of Acuros XB and AAA dose calculation for small fields with reference to RapidArc(®) stereotactic treatments","Fogliata A, Nicolini G, Clivio A, Vanetti E, Cozzi L.","Med Phys. 2011 Nov;38(11):6228-37. doi: 10.1118/1.3654739.","Fogliata A","Med Phys","2011","2011/11/04","","","10.1118/1.3654739"
"22047387","Megavoltage cone beam CT near surface dose measurements: potential implications for breast radiotherapy","Quinn A, Holloway L, Cutajar D, Hardcastle N, Rosenfeld A, Metcalfe P.","Med Phys. 2011 Nov;38(11):6222-7. doi: 10.1118/1.3641867.","Quinn A","Med Phys","2011","2011/11/04","","","10.1118/1.3641867"
"22047386","Assessment of three methods for detection of ultrasound artifacts","King DM, Hangiandreou NJ, Tradup DJ, Stekel SF.","Med Phys. 2011 Nov;38(11):6216-21. doi: 10.1118/1.3656955.","King DM","Med Phys","2011","2011/11/04","","","10.1118/1.3656955"
"22047385","An approach for online evaluations of dose consequences caused by small rotational setup errors in intracranial stereotactic radiation therapy","Lu B, Li J, Kahler D, Yan G, Mittauer K, Shi W, Okunieff P, Liu C.","Med Phys. 2011 Nov;38(11):6203-15. doi: 10.1118/1.3656954.","Lu B","Med Phys","2011","2011/11/04","","","10.1118/1.3656954"
"22047384","Optimization of phosphor-based detector design for oblique x-ray incidence in digital breast tomosynthesis","Acciavatti RJ, Maidment AD.","Med Phys. 2011 Nov;38(11):6188. doi: 10.1118/1.3639999.","Acciavatti RJ","Med Phys","2011","2011/11/04","PMC3221709","","10.1118/1.3639999"
"22047383","Automated 3-dimensional segmentation of pelvic lymph nodes in magnetic resonance images","Debats OA, Litjens GJ, Barentsz JO, Karssemeijer N, Huisman HJ.","Med Phys. 2011 Nov;38(11):6178-87. doi: 10.1118/1.3654162.","Debats OA","Med Phys","2011","2011/11/04","","","10.1118/1.3654162"
"22047382","Radiochromic EBT2 film dosimetry for low-energy protontherapy","Angellier G, Gautier M, Herault J.","Med Phys. 2011 Nov;38(11):6171-7. doi: 10.1118/1.3654161.","Angellier G","Med Phys","2011","2011/11/04","","","10.1118/1.3654161"
"22047381","Auto-segmentation of normal and target structures in head and neck CT images: a feature-driven model-based approach","Qazi AA, Pekar V, Kim J, Xie J, Breen SL, Jaffray DA.","Med Phys. 2011 Nov;38(11):6160-70. doi: 10.1118/1.3654160.","Qazi AA","Med Phys","2011","2011/11/04","","","10.1118/1.3654160"
"22047380","Imaging of moving fiducial markers during radiotherapy using a fast, efficient active pixel sensor based EPID","Osmond JP, Zin HM, Harris EJ, Lupica G, Allinson NM, Evans PM.","Med Phys. 2011 Nov;38(11):6152-9. doi: 10.1118/1.3651632.","Osmond JP","Med Phys","2011","2011/11/04","","","10.1118/1.3651632"
"22047379","Dosimetry of a new P-32 ophthalmic applicator","Choi CH, Han HS, Son KJ, Park UJ, Lee JS, Wee WR, Ha SW, Kim IH, Ye SJ.","Med Phys. 2011 Nov;38(11):6143-51. doi: 10.1118/1.3644843.","Choi CH","Med Phys","2011","2011/11/04","","","10.1118/1.3644843"
"22047378","K-space reconstruction with anisotropic kernel support (KARAOKE) for ultrafast partially parallel imaging","Miao J, Wong WC, Narayan S, Wilson DL.","Med Phys. 2011 Nov;38(11):6138-42. doi: 10.1118/1.3651693.","Miao J","Med Phys","2011","2011/11/04","PMC3221708","","10.1118/1.3651693"
"22047377","Automated bone removal in CT angiography: comparison of methods based on single energy and dual energy scans","van Straten M, Schaap M, Dijkshoorn ML, Greuter MJ, van der Lugt A, Krestin GP, Niessen WJ.","Med Phys. 2011 Nov;38(11):6128-37. doi: 10.1118/1.3651475.","van Straten M","Med Phys","2011","2011/11/04","","","10.1118/1.3651475"
"22047376","Analysis of shear strain imaging for classifying breast masses: finite element and phantom results","Xu H, Varghese T, Madsen EL.","Med Phys. 2011 Nov;38(11):6119-27. doi: 10.1118/1.3651461.","Xu H","Med Phys","2011","2011/11/04","PMC3221707","","10.1118/1.3651461"
"22047375","Impact of leaf motion constraints on IMAT plan quality, deliver accuracy, and efficiency","Chen F, Rao M, Ye JS, Shepard DM, Cao D.","Med Phys. 2011 Nov;38(11):6106-18. doi: 10.1118/1.3651698.","Chen F","Med Phys","2011","2011/11/04","","","10.1118/1.3651698"
"22047374","Zonal segmentation of prostate using multispectral magnetic resonance images","Makni N, Iancu A, Colot O, Puech P, Mordon S, Betrouni N.","Med Phys. 2011 Nov;38(11):6093-105. doi: 10.1118/1.3651610.","Makni N","Med Phys","2011","2011/11/04","","","10.1118/1.3651610"
"22047373","Radiation dose reduction to the breast in thoracic CT: comparison of bismuth shielding, organ-based tube current modulation, and use of a globally decreased tube current","Wang J, Duan X, Christner JA, Leng S, Yu L, McCollough CH.","Med Phys. 2011 Nov;38(11):6084-92. doi: 10.1118/1.3651489.","Wang J","Med Phys","2011","2011/11/04","","","10.1118/1.3651489"
"22047372","Radiochromic film dosimetry of HDR (192)Ir source radiation fields","Aldelaijan S, Mohammed H, Tomic N, Liang LH, Deblois F, Sarfehnia A, Abdel-Rahman W, Seuntjens J, Devic S.","Med Phys. 2011 Nov;38(11):6074-83. doi: 10.1118/1.3651482.","Aldelaijan S","Med Phys","2011","2011/11/04","","","10.1118/1.3651482"
"22047371","Task-based weights for photon counting spectral x-ray imaging","Bornefalk H.","Med Phys. 2011 Nov;38(11):6065-73. doi: 10.1118/1.3653195.","Bornefalk H","Med Phys","2011","2011/11/04","","","10.1118/1.3653195"
"22047370","Statistical variability and confidence intervals for planar dose QA pass rates","Bailey DW, Nelms BE, Attwood K, Kumaraswamy L, Podgorsak MB.","Med Phys. 2011 Nov;38(11):6053-64. doi: 10.1118/1.3651695.","Bailey DW","Med Phys","2011","2011/11/04","","","10.1118/1.3651695"
"22047369","A comparison of postimplant dosimetry for (103)Pd versus (131)Cs seeds on a retrospective series of PBSI patients","Ravi A, Keller BM, Pignol JP.","Med Phys. 2011 Nov;38(11):6046-52. doi: 10.1118/1.3651633.","Ravi A","Med Phys","2011","2011/11/04","","","10.1118/1.3651633"
"22047368","Dynamic MLC leaf sequencing for integrated linear accelerator control systems","Popple RA, Brezovich IA.","Med Phys. 2011 Nov;38(11):6039-45. doi: 10.1118/1.3651628.","Popple RA","Med Phys","2011","2011/11/04","","","10.1118/1.3651628"
"22047367","Scatter correction for full-fan volumetric CT using a stationary beam blocker in a single full scan","Niu T, Zhu L.","Med Phys. 2011 Nov;38(11):6027-38. doi: 10.1118/1.3651619.","Niu T","Med Phys","2011","2011/11/04","PMC3215690","","10.1118/1.3651619"
"22047366","Reference dosimetry for helical tomotherapy: practical implementation and a multicenter validation","De Ost B, Schaeken B, Vynckier S, Sterpin E, Van den Weyngaert D.","Med Phys. 2011 Nov;38(11):6020-6. doi: 10.1118/1.3651496.","De Ost B","Med Phys","2011","2011/11/04","","","10.1118/1.3651496"
"22047365","The effect of errors in segmented attenuation maps on PET quantification","Keereman V, Holen RV, Mollet P, Vandenberghe S.","Med Phys. 2011 Nov;38(11):6010-9. doi: 10.1118/1.3651640.","Keereman V","Med Phys","2011","2011/11/04","","","10.1118/1.3651640"
"22047364","Improving suspicious breast lesion characterization using semi-automatic lesion fractional volume washout kinetic analysis","Huang J, Hahn T, Hoisington L, Schafer S, Zong X, Berger K.","Med Phys. 2011 Nov;38(11):5998-6009. doi: 10.1118/1.3651635.","Huang J","Med Phys","2011","2011/11/04","","","10.1118/1.3651635"
"22047363","The correlation of tissue motion within the lung: implications on fiducial based treatments","Smith RL, Yang D, Lee A, Mayse ML, Low DA, Parikh PJ.","Med Phys. 2011 Nov;38(11):5992-7. doi: 10.1118/1.3643028.","Smith RL","Med Phys","2011","2011/11/04","PMC3298561","","10.1118/1.3643028"
